player,current_value,main_position,other_positions,nationality,date_of_birth,city_of_birth,country_of_birth,height,current_club,contract_expires,on_loan_from,contract_there_expires,number,foot,outfitter,age
Gabri Veiga,30.0,Central Midfield,"Attacking Midfield, Defensive Midfield",Spain,2002-05-27,Porriño  ,Spain,185,Al-Ahli SFC,2026-06-30,-,,24,right,adidas,22
Willian Pacho,30.0,Centre Back,,Ecuador,2001-10-16,Quinindé  ,Ecuador,187,Eintracht Frankfurt,2028-06-30,-,,3,left,,23
Jarrad Branthwaite,30.0,Centre Back,,England,2002-06-27,Carlisle  ,England,195,Everton FC,2027-06-30,-,,32,left,,22
Simon Adingra,30.0,Left Winger,Right Winger,Ivory Coast,2002-01-01,Abobo  ,Cote d'Ivoire,175,Brighton & Hove Albion,2026-06-30,-,,24,right,,22
Éderson,30.0,Central Midfield,"Defensive Midfield, Attacking Midfield",Brazil,1999-07-07,Campo Grande  ,Brazil,183,Atalanta BC,2026-06-30,-,,13,right,adidas,25
Aaron Hickey,30.0,Right Back,"Left-Back, Left Midfield",Scotland,2002-06-10,Glasgow  ,Scotland,185,Brentford FC,2026-06-30,-,,2,both,,22
Enzo Millot,30.0,Attacking Midfield,"Central Midfield, Right Winger",France,2002-07-17,Lucé  ,France,174,VfB Stuttgart,2028-06-30,-,,8,left,,22
Yéremy Pino,30.0,Right Winger,Left Winger,Spain,2002-10-20,Las Palmas  ,Spain,172,Villarreal CF,2027-06-30,-,,21,right,,22
Malick Thiaw,30.0,Centre Back,"Defensive Midfield, Right-Back",Germany,2001-08-08,Düsseldorf  ,Germany,194,AC Milan,2027-06-30,-,,28,right,Under Armour,23
Folarin Balogun,30.0,Centre Forward,,USA,2001-07-03,"New York City, New York  ",United States,178,AS Monaco,2028-06-30,-,,29,right,adidas,23
Ian Maatsen,30.0,Left Back,"Left Midfield, Left Winger",Netherlands,2002-03-10,Vlaardingen  ,Netherlands,178,Borussia Dortmund,2024-06-30,Chelsea FC,2026-06-30,22,left,,22
Kiernan Dewsbury-Hall,30.0,Central Midfield,"Defensive Midfield, Attacking Midfield",England,1998-09-06,Shepshed  ,England,178,Leicester City,2027-06-30,-,,22,left,,26
Ansu Fati,30.0,Left Winger,"Attacking Midfield, Centre-Forward",Spain,2002-10-31,Bissau  ,Guinea-Bissau,178,Brighton & Hove Albion,2024-06-30,FC Barcelona,2027-06-30,31,right,Nike,22
João Félix,30.0,Left Winger,"Second Striker, Centre-Forward",Portugal,1999-11-10,Viseu  ,Portugal,181,FC Barcelona,2024-06-30,Atlético de Madrid,2029-06-30,14,right,adidas,25
Morten Hjulmand,30.0,Defensive Midfield,"Central Midfield, Attacking Midfield",Denmark,1999-06-25,Kastrup  ,Denmark,185,Sporting CP,2028-06-30,-,,42,right,,25
Orkun Kökçü,30.0,Central Midfield,Attacking Midfield,Türkiye,2000-12-29,Haarlem  ,Netherlands,175,SL Benfica,2028-06-30,-,,10,both,,24
Charles De Ketelaere,30.0,Attacking Midfield,"Centre-Forward, Right Winger",Belgium,2001-03-10,Brugge  ,Belgium,192,Atalanta BC,2024-06-30,AC Milan,2027-06-30,17,left,,23
Pedro Gonçalves,30.0,Attacking Midfield,"Left Winger, Right Winger",Portugal,1998-06-28,Chaves  ,Portugal,173,Sporting CP,2027-06-30,-,,8,right,,26
Ademola Lookman,30.0,Second Striker,"Right Winger, Left Winger",Nigeria,1997-10-20,London  ,England,174,Atalanta BC,2026-06-30,-,,11,right,Nike,27
Davide Frattesi,30.0,Central Midfield,Attacking Midfield,Italy,1999-09-22,Roma  ,Italy,178,Inter Milan,2028-06-30,US Sassuolo,2026-06-30,16,right,Puma,25
Nico Schlotterbeck,30.0,Centre Back,Left-Back,Germany,1999-12-01,Waiblingen  ,Germany,191,Borussia Dortmund,2027-06-30,-,,4,left,,25
Alessandro Buongiorno,30.0,Centre Back,Left-Back,Italy,1999-06-06,Torino  ,Italy,190,Torino FC,2028-06-30,-,,4,left,adidas,25
Frank Anguissa,30.0,Central Midfield,Defensive Midfield,Cameroon,1995-11-16,Yaoundé  ,Cameroon,184,SSC Napoli,2025-06-30,-,,99,right,,29
Fabián Ruiz,30.0,Central Midfield,"Defensive Midfield, Attacking Midfield",Spain,1996-04-03,Los Palacios y Villafranca  ,Spain,189,Paris Saint-Germain,2027-06-30,-,,8,left,adidas,28
Artem Dovbyk,30.0,Centre Forward,,Ukraine,1997-06-21,Cherkasy  ,Ukraine,189,Girona FC,2028-06-30,-,,9,left,,27
Noussair Mazraoui,30.0,Right Back,"Left-Back, Central Midfield",Morocco,1997-11-14,Leiderdorp  ,Netherlands,183,Bayern Munich,2026-06-30,-,,40,right,adidas,27
Eddie Nketiah,30.0,Centre Forward,"Right Winger, Left Winger",England,1999-05-30,London  ,England,175,Arsenal FC,2027-06-30,-,,14,right,Under Armour,25
Takehiro Tomiyasu,30.0,Right Back,"Centre-Back, Left-Back",Japan,1998-11-05,"Fukuoka, Fukuoka  ",Japan,188,Arsenal FC,2026-06-30,-,,18,right,,26
Malcom,30.0,Right Winger,"Left Winger, Second Striker",Brazil,1997-02-26,São Paulo  ,Brazil,171,Al-Hilal SFC,2027-06-30,-,,77,left,adidas,27
Mathias Jensen,30.0,Central Midfield,,Denmark,1996-01-01,"Jerslev, West Zealand  ",Denmark,180,Brentford FC,2026-06-30,-,,8,right,Nike,28
Ben Chilwell,30.0,Left Back,Left Midfield,England,1996-12-21,Milton Keynes  ,England,180,Chelsea FC,2027-06-30,-,,21,left,Nike,28
Marcos Llorente,30.0,Central Midfield,"Right Midfield, Right-Back",Spain,1995-01-30,Madrid  ,Spain,184,Atlético de Madrid,2027-06-30,-,,14,right,Nike,29
Aleksandr Golovin,30.0,Attacking Midfield,"Central Midfield, Left Winger",Russia,1996-05-30,"Kaltan, Kemerovo Oblast  ",Russia,178,AS Monaco,2026-06-30,-,,17,right,Nike,28
Rodrigo de Paul,30.0,Central Midfield,Attacking Midfield,Argentina,1994-05-24,Sarandí  ,Argentina,180,Atlético de Madrid,2026-06-30,-,,5,right,adidas,30
Otávio,30.0,Attacking Midfield,"Right Winger, Central Midfield",Portugal,1995-02-09,João Pessoa  ,Brazil,172,Al-Nassr FC,2026-06-30,-,,25,right,,29
José Gayà,30.0,Left Back,,Spain,1995-05-25,Pedreguer  ,Spain,172,Valencia CF,2027-06-30,-,,14,left,Nike,29
Jonathan Tah,30.0,Centre Back,,Germany,1996-02-11,Hamburg  ,Germany,195,Bayer 04 Leverkusen,2025-06-30,-,,4,right,adidas,28
John McGinn,30.0,Central Midfield,"Left Midfield, Defensive Midfield",Scotland,1994-10-18,Glasgow  ,Scotland,178,Aston Villa,2027-06-30,-,,7,left,,30
Stanislav Lobotka,30.0,Defensive Midfield,Central Midfield,Slovakia,1994-11-25,Trenčín  ,Slovakia,168,SSC Napoli,2027-06-30,-,,68,right,,30
João Cancelo,30.0,Right Back,"Left-Back, Right Midfield",Portugal,1994-05-27,Barreiro  ,Portugal,182,FC Barcelona,2024-06-30,Manchester City,2027-06-30,2,right,Nike,30
Leon Goretzka,30.0,Central Midfield,"Attacking Midfield, Defensive Midfield",Germany,1995-02-06,Bochum  ,Germany,189,Bayern Munich,2026-06-30,-,,8,right,,29
Jan Oblak,30.0,Goalkeeper,,Slovenia,1993-01-07,Škofja Loka  ,Slovenia,188,Atlético de Madrid,2028-06-30,-,,13,right,Puma,31
Thibaut Courtois,30.0,Goalkeeper,,Belgium,1992-05-11,Bree  ,Belgium,200,Real Madrid,2026-06-30,-,,1,left,Nike,32
Romelu Lukaku,30.0,Centre Forward,,Belgium,1993-05-13,Antwerpen  ,Belgium,191,AS Roma,2024-06-30,Chelsea FC,2026-06-30,90,left,Nike,31
Marc-André ter Stegen,30.0,Goalkeeper,,Germany,1992-04-30,Mönchengladbach  ,Germany,187,FC Barcelona,2028-06-30,-,,1,right,adidas,32
Mateo Kovacic,30.0,Central Midfield,"Attacking Midfield, Defensive Midfield",Croatia,1994-05-06,Linz  ,Austria,177,Manchester City,2027-06-30,-,,8,right,Nike,30
Lionel Messi,30.0,Right Winger,"Centre-Forward, Second Striker",Argentina,1987-06-24,Rosario  ,Argentina,170,Inter Miami CF,2025-12-31,-,,10,left,adidas,37
Casemiro,30.0,Defensive Midfield,,Brazil,1992-02-23,São José dos Campos  ,Brazil,185,Manchester United,2026-06-30,-,,18,right,adidas,32
Hugo Larsson,28.0,Central Midfield,Defensive Midfield,Sweden,2004-06-27,Svarte  ,Sweden,187,Eintracht Frankfurt,2028-06-30,-,,16,right,Puma,20
Danilo,28.0,Central Midfield,"Defensive Midfield, Attacking Midfield",Brazil,2001-04-29,Salvador  ,Brazil,177,Nottingham Forest,2029-06-30,-,,28,left,Nike,23
João Gomes,28.0,Central Midfield,Defensive Midfield,Brazil,2001-02-12,Rio de Janeiro   ,Brazil,176,Wolverhampton Wanderers,2028-06-30,-,,8,right,Nike,23
Jamie Bynoe-Gittens,28.0,Left Winger,Right Winger,England,2004-08-08,London  ,England,177,Borussia Dortmund,2028-06-30,-,,43,right,,20
Ilya Zabarnyi,28.0,Centre Back,,Ukraine,2002-09-01,Kyiv  ,Ukraine,189,AFC Bournemouth,2028-06-30,-,,27,right,,22
Antony,28.0,Right Winger,Left Winger,Brazil,2000-02-24,São Paulo  ,Brazil,172,Manchester United,2027-06-30,-,,21,left,Puma,24
Armando Broja,28.0,Centre Forward,,Albania,2001-09-10,Slough  ,England,191,Fulham FC,2024-06-30,Chelsea FC,2028-06-30,9,right,Nike,23
Youssouf Fofana,28.0,Central Midfield,"Defensive Midfield, Right Midfield",France,1999-01-10,Paris  ,France,185,AS Monaco,2025-06-30,-,,19,right,adidas,25
Karim Adeyemi,28.0,Left Winger,"Centre-Forward, Right Winger",Germany,2002-01-18,München  ,Germany,180,Borussia Dortmund,2027-06-30,-,,27,left,Nike,22
Matty Cash,28.0,Right Back,"Right Midfield, Central Midfield",Poland,1997-08-07,Slough  ,England,185,Aston Villa,2027-06-30,-,,2,right,Under Armour,27
Amine Gouiri,28.0,Left Winger,"Centre-Forward, Second Striker",Algeria,2000-02-16,Bourgoin-Jallieu  ,France,181,Stade Rennais FC,2027-06-30,-,,10,right,,24
Giacomo Raspadori,28.0,Second Striker,"Left Winger, Centre-Forward",Italy,2000-02-18,Bentivoglio  ,Italy,172,SSC Napoli,2028-06-30,-,,81,right,adidas,24
Vitaliy Mykolenko,28.0,Left Back,"Centre-Back, Left Midfield",Ukraine,1999-05-29,Cherkasy  ,Ukraine,180,Everton FC,2026-06-30,-,,19,left,,25
Kalvin Phillips,28.0,Defensive Midfield,"Central Midfield, Centre-Back",England,1995-12-02,Leeds  ,England,179,West Ham United,2024-06-30,Manchester City,2028-06-30,11,right,,29
Ermedin Demirovic,28.0,Centre Forward,"Right Winger, Left Winger",Bosnia,1998-03-25,Hamburg  ,Germany,185,FC Augsburg,2026-06-30,-,,9,right,Nike,26
Taiwo Awoniyi,28.0,Centre Forward,,Nigeria,1997-08-12,Ilorin  ,Nigeria,183,Nottingham Forest,2027-06-30,-,,9,right,,27
Viktor Tsygankov,28.0,Right Winger,"Attacking Midfield, Left Winger",Ukraine,1997-11-15,Nahariya  ,Israel,178,Girona FC,2027-06-30,-,,8,left,,27
Alex Iwobi,28.0,Attacking Midfield,"Left Winger, Right Winger",Nigeria,1996-05-03,Lagos  ,Nigeria,183,Fulham FC,2028-06-30,-,,22,right,Nike,28
Xaver Schlager,28.0,Central Midfield,"Attacking Midfield, Defensive Midfield",Austria,1997-09-28,Linz  ,Austria,174,RB Leipzig,2026-06-30,-,,24,left,Puma,27
Konrad Laimer,28.0,Central Midfield,"Defensive Midfield, Right-Back",Austria,1997-05-27,Salzburg  ,Austria,180,Bayern Munich,2027-06-30,-,,27,right,,27
Emiliano Martínez,28.0,Goalkeeper,,Argentina,1992-09-02,Mar del Plata  ,Argentina,195,Aston Villa,2027-06-30,-,,1,right,adidas,32
Aleksandar Mitrovic,28.0,Centre Forward,,Serbia,1994-09-16,Smederevo  ,Yugoslavia (Republic),189,Al-Hilal SFC,2026-06-30,-,,9,right,Puma,30
Thiago Almada,27.0,Attacking Midfield,"Left Winger, Right Winger",Argentina,2001-04-26,Buenos Aires  ,Argentina,171,Atlanta United FC,2026-12-31,-,,10,right,Nike,23
Mats Wieffer,27.0,Defensive Midfield,"Central Midfield, Centre-Back",Netherlands,1999-11-16,Borne  ,Netherlands,188,Feyenoord Rotterdam,2027-06-30,-,,20,right,Puma,25
Denzel Dumfries,27.0,Right Midfield,Right-Back,Netherlands,1996-04-18,Rotterdam  ,Netherlands,188,Inter Milan,2025-06-30,-,,2,right,,28
Olivier Boscagli,27.0,Centre Back,"Left-Back, Defensive Midfield",France,1997-11-18,Monaco  ,Monaco,181,PSV Eindhoven,2025-06-30,-,,18,left,,27
Murillo,25.0,Centre Back,,Brazil,2002-07-04,São Paulo  ,Brazil,184,Nottingham Forest,2028-06-30,-,,40,left,Nike,22
Pau Cubarsí,25.0,Centre Back,,Spain,2007-01-22,Estanyol  ,Spain,184,FC Barcelona,2026-06-30,-,,33,right,,17
André,25.0,Defensive Midfield,"Central Midfield, Centre-Back",Brazil,2001-07-16,Ibirataia  ,Brazil,176,Fluminense Football Club,2026-12-31,-,,7,right,Nike,23
Aleksandar Pavlovic,25.0,Defensive Midfield,Central Midfield,Germany,2004-05-03,München   ,Germany,188,Bayern Munich,2027-06-30,-,,45,both,,20
Pablo Barrios,25.0,Central Midfield,Attacking Midfield,Spain,2003-06-15,Madrid  ,Spain,181,Atlético de Madrid,2028-06-30,-,,24,right,,21
Alan Varela,25.0,Defensive Midfield,Central Midfield,Argentina,2001-07-04,Isidro Casanova  ,Argentina,177,FC Porto,2028-06-30,-,,22,right,,23
Igor Thiago,25.0,Centre Forward,Second Striker,Brazil,2001-06-26,Gama  ,Brazil,191,Club Brugge KV,2027-06-30,-,,99,right,,23
Lesley Ugochukwu,25.0,Defensive Midfield,Central Midfield,France,2004-03-26,Rennes  ,France,190,Chelsea FC,2030-06-30,-,,16,right,Nike,20
Samuel Lino,25.0,Left Winger,"Left Midfield, Right Winger",Brazil,1999-12-23,Santo André  ,Brazil,170,Atlético de Madrid,2027-06-30,-,,12,right,,25
Matías Soulé,25.0,Right Winger,"Attacking Midfield, Second Striker",Argentina,2003-04-15,Mar del Plata  ,Argentina,182,Frosinone Calcio,2024-06-30,Juventus FC,2026-06-30,18,left,adidas,21
Marcos Leonardo,25.0,Centre Forward,Second Striker,Brazil,2003-05-02,Itapetinga  ,Brazil,177,SL Benfica,2029-06-30,-,,36,right,Nike,21
Oscar Bobb,25.0,Right Winger,"Attacking Midfield, Left Winger",Norway,2003-07-12,Oslo  ,Norway,175,Manchester City,2029-06-30,-,,52,left,Puma,21
Bilal El Khannouss,25.0,Attacking Midfield,Central Midfield,Morocco,2004-05-10,Strombeek-Bever  ,Belgium,180,KRC Genk,2027-06-30,-,,10,right,,20
Manu Koné,25.0,Central Midfield,"Defensive Midfield, Attacking Midfield",France,2001-05-17,Colombes  ,France,185,Borussia Mönchengladbach,2026-06-30,-,,17,right,adidas,23
Georgiy Sudakov,25.0,Attacking Midfield,"Central Midfield, Left Midfield",Ukraine,2002-09-01,"Bryanka, Lugansk Oblast  ",Ukraine,177,Shakhtar Donetsk,2028-12-31,-,,10,both,Nike,22
Rayan Cherki,25.0,Attacking Midfield,"Left Winger, Right Winger",France,2003-08-17,Lyon  ,France,177,Olympique Lyon,2025-06-30,-,,18,both,adidas,21
Pierre Kalulu,25.0,Centre Back,Right-Back,France,2000-06-05,Lyon  ,France,182,AC Milan,2027-06-30,-,,20,right,,24
Strahinja Pavlovic,25.0,Centre Back,,Serbia,2001-05-24,Šabac  ,Yugoslavia (Republic),194,Red Bull Salzburg,2027-06-30,-,,31,left,Puma,23
Radu Drăgușin,25.0,Centre Back,Right-Back,Romania,2002-02-03,Bucharest  ,Romania,191,Tottenham Hotspur,2030-06-30,-,,6,right,Nike,22
Álex Baena,25.0,Attacking Midfield,"Left Winger, Right Winger",Spain,2001-07-20,Roquetas de Mar  ,Spain,174,Villarreal CF,2028-06-30,-,,16,right,,23
Mohamed Camara,25.0,Defensive Midfield,Central Midfield,Mali,2000-01-06,Bamako  ,Mali,173,AS Monaco,2027-06-30,-,,4,right,,24
Terem Moffi,25.0,Centre Forward,Right Winger,Nigeria,1999-05-25,Calabar  ,Nigeria,188,OGC Nice,2027-06-30,-,,9,left,,25
Anatoliy Trubin,25.0,Goalkeeper,,Ukraine,2001-08-01,Donetsk  ,Ukraine,199,SL Benfica,2028-06-30,-,,1,right,Puma,23
Fábio Vieira,25.0,Attacking Midfield,"Central Midfield, Right Midfield",Portugal,2000-05-30,Santa Maria da Feira  ,Portugal,170,Arsenal FC,2027-06-30,-,,21,left,,24
Amine Adli,25.0,Left Winger,"Right Winger, Second Striker",Morocco,2000-05-10,Béziers  ,France,174,Bayer 04 Leverkusen,2026-06-30,-,,21,left,adidas,24
Roger Ibañez,25.0,Centre Back,,Brazil,1998-11-23,Canela  ,Brazil,185,Al-Ahli SFC,2027-06-30,-,,3,right,,26
Dani Vivian,25.0,Centre Back,,Spain,1999-07-05,Vitoria-Gasteiz  ,Spain,184,Athletic Bilbao,2026-06-30,-,,3,right,,25
Pepê,25.0,Left Winger,"Right Winger, Right-Back",Brazil,1997-02-24,Foz do Iguaçu  ,Brazil,175,FC Porto,2027-06-30,-,,11,right,,27
Jesper Lindstrøm,25.0,Attacking Midfield,"Left Winger, Right Winger",Denmark,2000-02-29,Taastrup  ,Denmark,182,SSC Napoli,2028-06-30,-,,29,right,adidas,24
Noni Madueke,25.0,Right Winger,Centre-Forward,England,2002-03-10,London  ,England,182,Chelsea FC,2030-06-30,-,,11,left,adidas,22
Riccardo Calafiori,25.0,Centre Back,"Left Midfield, Left-Back",Italy,2002-05-19,Roma  ,Italy,188,Bologna FC 1909,2027-06-30,-,,33,left,,22
Facundo Medina,25.0,Centre Back,Left-Back,Argentina,1999-05-28,Villa Fiorito  ,Argentina,184,RC Lens,2028-06-30,-,,14,left,,25
Brian Brobbey,25.0,Centre Forward,,Netherlands,2002-02-01,Amsterdam  ,Netherlands,180,Ajax Amsterdam,2027-06-30,-,,9,right,Nike,22
Kevin Schade,25.0,Right Winger,"Left Winger, Centre-Forward",Germany,2001-11-27,Potsdam  ,Germany,185,Brentford FC,2028-06-30,-,,9,right,Puma,23
David Neres,25.0,Right Winger,"Left Winger, Attacking Midfield",Brazil,1997-03-03,São Paulo  ,Brazil,176,SL Benfica,2027-06-30,-,,7,left,adidas,27
Nathan Collins,25.0,Centre Back,Right-Back,Ireland,2001-04-30,Leixlip  ,Ireland,193,Brentford FC,2029-06-30,-,,22,right,,23
Youssoufa Moukoko,25.0,Centre Forward,Second Striker,Germany,2004-11-20,Yaoundé  ,Cameroon,179,Borussia Dortmund,2026-06-30,-,,18,left,Nike,20
Mattéo Guendouzi,25.0,Central Midfield,"Defensive Midfield, Attacking Midfield",France,1999-04-14,Poissy  ,France,185,SS Lazio,2028-06-30,Olympique Marseille,2025-06-30,8,right,adidas,25
Rodrigo Riquelme,25.0,Left Winger,"Right Winger, Attacking Midfield",Spain,2000-04-02,Madrid  ,Spain,174,Atlético de Madrid,2028-06-30,-,,17,right,,24
Andrea Cambiaso,25.0,Left Back,"Right-Back, Left Midfield",Italy,2000-02-20,Genova  ,Italy,182,Juventus FC,2027-06-30,-,,27,both,adidas,24
Galeno,25.0,Left Winger,"Right Winger, Left Midfield",Brazil,1997-10-22,Barra da Corda  ,Brazil,179,FC Porto,2028-06-30,-,,13,right,,27
Martin Terrier,25.0,Left Winger,Centre-Forward,France,1997-03-04,Armentières  ,France,184,Stade Rennais FC,2026-06-30,-,,7,right,adidas,27
Aaron Ramsdale,25.0,Goalkeeper,,England,1998-05-14,Chesterton  ,England,190,Arsenal FC,2026-06-30,-,,1,right,adidas,26
Jakub Kiwior,25.0,Left Back,"Centre-Back, Defensive Midfield",Poland,2000-02-15,Tychy  ,Poland,189,Arsenal FC,2028-06-30,-,,15,left,,24
Perr Schuurs,25.0,Centre Back,,Netherlands,1999-11-26,Nieuwstadt  ,Netherlands,191,Torino FC,2026-06-30,-,,3,right,Nike,25
Felix Nmecha,25.0,Central Midfield,Attacking Midfield,Germany,2000-10-10,Hamburg  ,Germany,190,Borussia Dortmund,2028-06-30,-,,8,right,,24
Robert Sánchez,25.0,Goalkeeper,,Spain,1997-11-18,Cartagena  ,Spain,197,Chelsea FC,2030-06-30,-,,1,right,Nike,27
Jadon Sancho,25.0,Left Winger,"Right Winger, Attacking Midfield",England,2000-03-25,London  ,England,180,Borussia Dortmund,2024-06-30,Manchester United,2026-06-30,10,right,Nike,24
Emile Smith Rowe,25.0,Attacking Midfield,"Central Midfield, Left Midfield",England,2000-07-28,London  ,England,182,Arsenal FC,2026-06-30,-,,10,right,Nike,24
Yoane Wissa,25.0,Left Winger,"Centre-Forward, Right Winger",DR Congo,1996-09-03,Villeneuve-Saint-George  ,France,176,Brentford FC,2026-06-30,-,,11,right,,28
Lovro Majer,25.0,Attacking Midfield,Central Midfield,Croatia,1998-01-17,Zagreb  ,Croatia,178,VfL Wolfsburg,2028-06-30,-,,19,left,,26
