player,current_value,main_position,other_positions,nationality,date_of_birth,city_of_birth,country_of_birth,height,current_club,contract_expires,on_loan_from,contract_there_expires,number,foot,outfitter
Jude Bellingham,€180.00m,Attacking Midfield,['Central Midfield'],England,"Jun 29, 2003 (20)",Stourbridge  ,England,"1,86 m",Real Madrid,30-Jun-29,-,-,#5,right,adidas
Erling Haaland,€180.00m,Centre-Forward,[],Norway,"Jul 21, 2000 (23)",Leeds  ,England,"1,95 m",Manchester City,30-Jun-27,-,-,#9,left,Nike
Kylian Mbappé,€180.00m,Centre-Forward,"['Left Winger', 'Right Winger']",France,"Dec 20, 1998 (25)",Paris  ,France,"1,78 m",Paris Saint-Germain,30-Jun-24,-,-,#7,right,Nike
Vinícius Júnior,€150.00m,Left Winger,"['Centre-Forward', 'Right Winger']",Brazil,"Jul 12, 2000 (23)",São Gonçalo  ,Brazil,"1,76 m",Real Madrid,30-Jun-27,-,-,#7,right,Nike
Bukayo Saka,€130.00m,Right Winger,"['Left Winger', 'Right Midfield']",England,"Sep 5, 2001 (22)",London  ,England,"1,78 m",Arsenal FC,30-Jun-27,-,-,#7,left,New Balance
Phil Foden,€130.00m,Right Winger,"['Left Winger', 'Attacking Midfield']",England,"May 28, 2000 (23)",Stockport  ,England,"1,71 m",Manchester City,30-Jun-27,-,-,#47,left,Nike
Florian Wirtz,€110.00m,Attacking Midfield,"['Right Winger', 'Left Winger']",Germany,"May 3, 2003 (20)",Pulheim  ,Germany,"1,77 m",Bayer 04 Leverkusen,30-Jun-27,-,-,#10,right,adidas
Jamal Musiala,€110.00m,Attacking Midfield,"['Central Midfield', 'Left Winger']",Germany,"Feb 26, 2003 (21)",Stuttgart  ,Germany,"1,84 m",Bayern Munich,30-Jun-26,-,-,#42,right,
Lautaro Martínez,€110.00m,Centre-Forward,['Second Striker'],Argentina,"Aug 22, 1997 (26)",Bahía Blanca  ,Argentina,"1,74 m",Inter Milan,30-Jun-26,-,-,#10,right,Nike
Victor Osimhen,€110.00m,Centre-Forward,[],Nigeria,"Dec 29, 1998 (25)",Lagos  ,Nigeria,"1,86 m",SSC Napoli,30-Jun-26,-,-,#9,right,
Declan Rice,€110.00m,Defensive Midfield,"['Central Midfield', 'Centre-Back']",England,"Jan 14, 1999 (25)",London  ,England,"1,88 m",Arsenal FC,30-Jun-28,-,-,#41,right,adidas
Rodri,€110.00m,Defensive Midfield,['Centre-Back'],Spain,"Jun 22, 1996 (27)",Madrid  ,Spain,"1,91 m",Manchester City,30-Jun-27,-,-,#16,right,Nike
Harry Kane,€110.00m,Centre-Forward,['Second Striker'],England,"Jul 28, 1993 (30)",London  ,England,"1,88 m",Bayern Munich,30-Jun-27,-,-,#9,right,
Rodrygo,€100.00m,Right Winger,"['Left Winger', 'Centre-Forward']",Brazil,"Jan 9, 2001 (23)",Osasco  ,Brazil,"1,74 m",Real Madrid,30-Jun-28,-,-,#11,right,Nike
Federico Valverde,€100.00m,Central Midfield,"['Right Winger', 'Right Midfield']",Uruguay,"Jul 22, 1998 (25)",Montevideo  ,Uruguay,"1,82 m",Real Madrid,30-Jun-29,-,-,#15,right,Nike
Martin Ødegaard,€95.00m,Attacking Midfield,"['Right Winger', 'Central Midfield']",Norway,"Dec 17, 1998 (25)",Drammen  ,Norway,"1,78 m",Arsenal FC,30-Jun-28,-,-,#8,left,Nike
Gavi,€90.00m,Central Midfield,"['Attacking Midfield', 'Left Winger']",Spain,"Aug 5, 2004 (19)",Los Palacios y Villafranca  ,Spain,"1,73 m",FC Barcelona,30-Jun-26,-,-,#6,right,Nike
Eduardo Camavinga,€90.00m,Central Midfield,"['Defensive Midfield', 'Left-Back']",France,"Nov 10, 2002 (21)",Cabinda  ,Angola,"1,82 m",Real Madrid,30-Jun-29,-,-,#12,left,Nike
Julián Álvarez,€90.00m,Second Striker,"['Centre-Forward', 'Attacking Midfield']",Argentina,"Jan 31, 2000 (24)",Calchín  ,Argentina,"1,70 m",Manchester City,30-Jun-28,-,-,#19,right,adidas
Aurélien Tchouaméni,€90.00m,Defensive Midfield,"['Central Midfield', 'Centre-Back']",France,"Jan 27, 2000 (24)",Rouen  ,France,"1,88 m",Real Madrid,30-Jun-28,-,-,#18,right,Nike
Rafael Leão,€90.00m,Left Winger,"['Centre-Forward', 'Second Striker']",Portugal,"Jun 10, 1999 (24)",Almada  ,Portugal,"1,88 m",AC Milan,30-Jun-28,-,-,#10,right,adidas
Bruno Guimarães,€85.00m,Defensive Midfield,['Central Midfield'],Brazil,"Nov 16, 1997 (26)",Rio de Janeiro  ,Brazil,"1,82 m",Newcastle United,30-Jun-28,-,-,#39,right,adidas
Moisés Caicedo,€80.00m,Defensive Midfield,['Central Midfield'],Ecuador,"Nov 2, 2001 (22)",Santo Domingo  ,Ecuador,"1,78 m",Chelsea FC,30-Jun-31,-,-,#25,right,
Pedri,€80.00m,Central Midfield,"['Attacking Midfield', 'Left Winger']",Spain,"Nov 25, 2002 (21)",Tegueste  ,Spain,"1,74 m",FC Barcelona,30-Jun-26,-,-,#8,right,adidas
Gabriel Martinelli,€80.00m,Left Winger,"['Centre-Forward', 'Right Winger']",Brazil,"Jun 18, 2001 (22)",Guarulhos  ,Brazil,"1,78 m",Arsenal FC,30-Jun-27,-,-,#11,right,adidas
Enzo Fernández,€80.00m,Central Midfield,"['Defensive Midfield', 'Attacking Midfield']",Argentina,"Jan 17, 2001 (23)",San Martín  ,Argentina,"1,78 m",Chelsea FC,30-Jun-31,-,-,#8,right,
Xavi Simons,€80.00m,Attacking Midfield,"['Left Winger', 'Right Winger']",Netherlands,"Apr 21, 2003 (21)",Amsterdam  ,Netherlands,"1,79 m",RB Leipzig,30-Jun-24,Paris Saint-Germain,30-Jun-27,#20,right,Puma
Khvicha Kvaratskhelia,€80.00m,Left Winger,['Second Striker'],Georgia,"Feb 12, 2001 (23)",Tiflis  ,Georgia,"1,83 m",SSC Napoli,30-Jun-27,-,-,#77,both,Nike
William Saliba,€80.00m,Centre-Back,[],France,"Mar 24, 2001 (23)",Bondy  ,France,"1,92 m",Arsenal FC,30-Jun-27,-,-,#2,right,
Rúben Dias,€80.00m,Centre-Back,[],Portugal,"May 14, 1997 (26)",Amadora  ,Portugal,"1,87 m",Manchester City,30-Jun-27,-,-,#3,right,Nike
Bernardo Silva,€80.00m,Attacking Midfield,"['Right Winger', 'Central Midfield']",Portugal,"Aug 10, 1994 (29)",Lisboa  ,Portugal,"1,73 m",Manchester City,30-Jun-26,-,-,#20,left,adidas
Lamine Yamal,€75.00m,Right Winger,['Left Winger'],Spain,"Jul 13, 2007 (16)",Esplugues de Llobregat  ,Spain,"1,78 m",FC Barcelona,30-Jun-26,-,-,#27,left,adidas
Luis Díaz,€75.00m,Left Winger,"['Left Midfield', 'Right Winger']",Colombia,"Jan 13, 1997 (27)",Barrancas  ,Colombia,"1,80 m",Liverpool FC,30-Jun-27,-,-,#7,right,
Josko Gvardiol,€75.00m,Centre-Back,['Left-Back'],Croatia,"Jan 23, 2002 (22)",Zagreb  ,Croatia,"1,85 m",Manchester City,30-Jun-28,-,-,#24,left,
Dominik Szoboszlai,€75.00m,Central Midfield,"['Attacking Midfield', 'Right Midfield']",Hungary,"Oct 25, 2000 (23)",Székesfehérvár  ,Hungary,"1,87 m",Liverpool FC,30-Jun-28,-,-,#8,right,
Nicolò Barella,€75.00m,Central Midfield,"['Defensive Midfield', 'Attacking Midfield']",Italy,"Feb 7, 1997 (27)",Cagliari  ,Italy,"1,75 m",Inter Milan,30-Jun-26,-,-,#23,right,Nike
Darwin Núñez,€70.00m,Centre-Forward,['Left Winger'],Uruguay,"Jun 24, 1999 (24)",Artigas  ,Uruguay,"1,87 m",Liverpool FC,30-Jun-28,-,-,#9,right,
Alexis Mac Allister,€70.00m,Central Midfield,"['Attacking Midfield', 'Defensive Midfield']",Argentina,"Dec 24, 1998 (25)",Santa Rosa  ,Argentina,"1,76 m",Liverpool FC,30-Jun-28,-,-,#10,right,adidas
Ronald Araujo,€70.00m,Centre-Back,['Right-Back'],Uruguay,"Mar 7, 1999 (25)",Rivera  ,Uruguay,"1,92 m",FC Barcelona,30-Jun-26,-,-,#4,right,Nike
Douglas Luiz,€70.00m,Central Midfield,['Defensive Midfield'],Brazil,"May 9, 1998 (25)",Rio de Janeiro  ,Brazil,"1,77 m",Aston Villa,30-Jun-26,-,-,#6,right,
Éder Militão,€70.00m,Centre-Back,['Right-Back'],Brazil,"Jan 18, 1998 (26)",Sertãozinho  ,Brazil,"1,86 m",Real Madrid,30-Jun-28,-,-,#3,right,adidas
Gabriel Jesus,€70.00m,Centre-Forward,"['Left Winger', 'Right Winger']",Brazil,"Apr 3, 1997 (27)",São Paulo  ,Brazil,"1,75 m",Arsenal FC,30-Jun-27,-,-,#9,right,adidas
Alexander Isak,€70.00m,Centre-Forward,['Left Winger'],Sweden,"Sep 21, 1999 (24)",Solna  ,Sweden,"1,92 m",Newcastle United,30-Jun-28,-,-,#14,right,adidas
Christopher Nkunku,€70.00m,Attacking Midfield,"['Second Striker', 'Left Winger']",France,"Nov 14, 1997 (26)",Lagny-sur-Marne  ,France,"1,77 m",Chelsea FC,30-Jun-29,-,-,#18,right,adidas
Frenkie de Jong,€70.00m,Central Midfield,['Defensive Midfield'],Netherlands,"May 12, 1997 (26)",Arkel  ,Netherlands,"1,81 m",FC Barcelona,30-Jun-26,-,-,#21,right,Nike
Alessandro Bastoni,€70.00m,Centre-Back,[],Italy,"Apr 13, 1999 (25)",Casalmaggiore  ,Italy,"1,90 m",Inter Milan,30-Jun-28,-,-,#95,left,Puma
Trent Alexander-Arnold,€70.00m,Right-Back,"['Defensive Midfield', 'Central Midfield']",England,"Oct 7, 1998 (25)",Liverpool  ,England,"1,80 m",Liverpool FC,30-Jun-25,-,-,#66,right,adidas
James Maddison,€70.00m,Attacking Midfield,"['Central Midfield', 'Right Midfield']",England,"Nov 23, 1996 (27)",Coventry  ,England,"1,75 m",Tottenham Hotspur,30-Jun-28,-,-,#10,right,Puma
Bruno Fernandes,€70.00m,Attacking Midfield,"['Second Striker', 'Central Midfield']",Portugal,"Sep 8, 1994 (29)",Maia  ,Portugal,"1,79 m",Manchester United,30-Jun-26,-,-,#8,right,Nike
Leroy Sané,€70.00m,Right Winger,"['Left Winger', 'Attacking Midfield']",Germany,"Jan 11, 1996 (28)",Essen  ,Germany,"1,83 m",Bayern Munich,30-Jun-25,-,-,#10,left,Nike
Rasmus Højlund,€65.00m,Centre-Forward,[],Denmark,"Feb 4, 2003 (21)",København  ,Denmark,"1,91 m",Manchester United,30-Jun-28,-,-,#11,left,
Jérémy Doku,€65.00m,Left Winger,['Right Winger'],Belgium,"May 27, 2002 (21)",Borgerhout  ,Belgium,"1,73 m",Manchester City,30-Jun-28,-,-,#11,right,
Lucas Paquetá,€65.00m,Attacking Midfield,"['Central Midfield', 'Left Winger']",Brazil,"Aug 27, 1997 (26)",Paquetá  ,Brazil,"1,80 m",West Ham United,30-Jun-27,-,-,#10,left,Nike
Gabriel Magalhães,€65.00m,Centre-Back,[],Brazil,"Dec 19, 1997 (26)",São Paulo  ,Brazil,"1,90 m",Arsenal FC,30-Jun-27,-,-,#6,left,
Achraf Hakimi,€65.00m,Right-Back,"['Right Midfield', 'Left-Back']",Morocco,"Nov 4, 1998 (25)",Madrid  ,Spain,"1,81 m",Paris Saint-Germain,30-Jun-26,-,-,#2,right,adidas
Dušan Vlahović,€65.00m,Centre-Forward,[],Serbia,"Jan 28, 2000 (24)",Belgrade  ,Yugoslavia (Republic),"1,90 m",Juventus FC,30-Jun-26,-,-,#9,left,Nike
Matthijs de Ligt,€65.00m,Centre-Back,[],Netherlands,"Aug 12, 1999 (24)",Leiderdorp  ,Netherlands,"1,89 m",Bayern Munich,30-Jun-27,-,-,#4,right,Nike
Ollie Watkins,€65.00m,Centre-Forward,"['Right Winger', 'Left Winger']",England,"Dec 30, 1995 (28)",Torquay  ,England,"1,80 m",Aston Villa,30-Jun-28,-,-,#11,right,Under Armour
Kingsley Coman,€65.00m,Left Winger,['Right Winger'],France,"Jun 13, 1996 (27)",Paris  ,France,"1,81 m",Bayern Munich,30-Jun-27,-,-,#11,right,Puma
Jack Grealish,€65.00m,Left Winger,['Attacking Midfield'],England,"Sep 10, 1995 (28)",Birmingham  ,England,"1,80 m",Manchester City,30-Jun-27,-,-,#10,right,Puma
Mohamed Salah,€65.00m,Right Winger,"['Second Striker', 'Centre-Forward']",Egypt,"Jun 15, 1992 (31)","Nagrig, Basyoun  ",Egypt,"1,75 m",Liverpool FC,30-Jun-25,-,-,#11,left,adidas
Warren Zaïre-Emery,€60.00m,Central Midfield,['Defensive Midfield'],France,"Mar 8, 2006 (18)",Montreuil  ,France,"1,78 m",Paris Saint-Germain,30-Jun-25,-,-,#33,right,Nike
Evan Ferguson,€60.00m,Centre-Forward,['Right Winger'],Ireland,"Oct 19, 2004 (19)","Bettystown, Meath  ",Ireland,"1,88 m",Brighton & Hove Albion,30-Jun-29,-,-,#28,right,
Nuno Mendes,€60.00m,Left-Back,['Left Midfield'],Portugal,"Jun 19, 2002 (21)",Lisboa  ,Portugal,"1,83 m",Paris Saint-Germain,30-Jun-26,-,-,#25,left,adidas
Bremer,€60.00m,Centre-Back,[],Brazil,"Mar 18, 1997 (27)",Itapitanga  ,Brazil,"1,88 m",Juventus FC,30-Jun-28,-,-,#3,right,Puma
Randal Kolo Muani,€60.00m,Centre-Forward,"['Right Winger', 'Left Winger']",France,"Dec 5, 1998 (25)",Bondy  ,France,"1,87 m",Paris Saint-Germain,30-Jun-28,-,-,#23,right,adidas
Manuel Ugarte,€60.00m,Defensive Midfield,['Central Midfield'],Uruguay,"Apr 11, 2001 (23)",Montevideo  ,Uruguay,"1,82 m",Paris Saint-Germain,30-Jun-28,-,-,#4,right,adidas
Alphonso Davies,€60.00m,Left-Back,"['Left Winger', 'Left Midfield']",Canada,"Nov 2, 2000 (23)",Buduburam  ,Ghana,"1,85 m",Bayern Munich,30-Jun-25,-,-,#19,left,
Takefusa Kubo,€60.00m,Right Winger,"['Attacking Midfield', 'Left Winger']",Japan,"Jun 4, 2001 (22)","Kawasaki, Kanagawa  ",Japan,"1,73 m",Real Sociedad,30-Jun-29,-,-,#14,left,
Loïs Openda,€60.00m,Centre-Forward,"['Left Winger', 'Right Winger']",Belgium,"Feb 16, 2000 (24)",Liège  ,Belgium,"1,77 m",RB Leipzig,30-Jun-28,-,-,#17,right,Nike
Cristian Romero,€60.00m,Centre-Back,[],Argentina,"Apr 27, 1998 (25)",Córdoba  ,Argentina,"1,85 m",Tottenham Hotspur,30-Jun-27,-,-,#17,right,
Theo Hernández,€60.00m,Left-Back,"['Left Midfield', 'Centre-Back']",France,"Oct 6, 1997 (26)",Marseille  ,France,"1,84 m",AC Milan,30-Jun-26,-,-,#19,left,
Marcus Thuram,€60.00m,Centre-Forward,['Left Winger'],France,"Aug 6, 1997 (26)",Parma  ,Italy,"1,92 m",Inter Milan,30-Jun-28,-,-,#9,right,Nike
Kai Havertz,€60.00m,Attacking Midfield,"['Centre-Forward', 'Right Winger']",Germany,"Jun 11, 1999 (24)",Aachen  ,Germany,"1,93 m",Arsenal FC,30-Jun-28,-,-,#29,left,Puma
Ousmane Dembélé,€60.00m,Right Winger,['Left Winger'],France,"May 15, 1997 (26)",Vernon  ,France,"1,78 m",Paris Saint-Germain,30-Jun-28,-,-,#10,both,adidas
Marcus Rashford,€60.00m,Left Winger,"['Centre-Forward', 'Right Winger']",England,"Oct 31, 1997 (26)",Manchester  ,England,"1,85 m",Manchester United,30-Jun-28,-,-,#10,right,Nike
Joshua Kimmich,€60.00m,Right-Back,"['Defensive Midfield', 'Central Midfield']",Germany,"Feb 8, 1995 (29)",Rottweil  ,Germany,"1,77 m",Bayern Munich,30-Jun-25,-,-,#6,right,
Kevin De Bruyne,€60.00m,Attacking Midfield,['Central Midfield'],Belgium,"Jun 28, 1991 (32)",Drongen  ,Belgium,"1,81 m",Manchester City,30-Jun-25,-,-,#17,right,Nike
Endrick,€55.00m,Centre-Forward,"['Second Striker', 'Right Winger']",Brazil,"Jul 21, 2006 (17)",Taguatinga  ,Brazil,"1,73 m",Sociedade Esportiva Palmeiras,30-Jun-25,-,-,#9,left,New Balance
Cole Palmer,€55.00m,Attacking Midfield,"['Right Winger', 'Centre-Forward']",England,"May 6, 2002 (21)",Manchester  ,England,"1,89 m",Chelsea FC,30-Jun-30,-,-,#20,left,Nike
Min-jae Kim,€55.00m,Centre-Back,[],South Korea,"Nov 15, 1996 (27)","Tongyeong, Gyeongnam  ","Korea, South","1,90 m",Bayern Munich,30-Jun-28,-,-,#3,right,Nike
Pedro Neto,€55.00m,Right Winger,"['Left Winger', 'Attacking Midfield']",Portugal,"Mar 9, 2000 (24)",Viana do Castelo  ,Portugal,"1,72 m",Wolverhampton Wanderers,30-Jun-27,-,-,#7,left,
Dejan Kulusevski,€55.00m,Right Winger,['Attacking Midfield'],Sweden,"Apr 25, 2000 (23)",Stockholm  ,Sweden,"1,86 m",Tottenham Hotspur,30-Jun-28,-,-,#21,left,
Moussa Diaby,€55.00m,Right Winger,"['Left Winger', 'Attacking Midfield']",France,"Jul 7, 1999 (24)",Paris  ,France,"1,71 m",Aston Villa,30-Jun-28,-,-,#19,left,
Ben White,€55.00m,Right-Back,"['Centre-Back', 'Defensive Midfield']",England,"Oct 8, 1997 (26)",Poole  ,England,"1,86 m",Arsenal FC,30-Jun-28,-,-,#4,right,adidas
Viktor Gyökeres,€55.00m,Centre-Forward,[],Sweden,"Jun 4, 1998 (25)",Stockholm  ,Sweden,"1,87 m",Sporting CP,30-Jun-28,-,-,#9,right,Nike
João Palhinha,€55.00m,Defensive Midfield,[],Portugal,"Jul 9, 1995 (28)",Lisboa  ,Portugal,"1,90 m",Fulham FC,30-Jun-28,-,-,#26,right,adidas
Marquinhos,€55.00m,Centre-Back,"['Defensive Midfield', 'Right-Back']",Brazil,"May 14, 1994 (29)",São Paulo  ,Brazil,"1,83 m",Paris Saint-Germain,30-Jun-28,-,-,#5,right,Nike
Nico Williams,€50.00m,Left Winger,['Right Winger'],Spain,"Jul 12, 2002 (21)",Pamplona  ,Spain,"1,81 m",Athletic Bilbao,30-Jun-27,-,-,#11,right,Nike
Levi Colwill,€50.00m,Centre-Back,['Left-Back'],England,"Feb 26, 2003 (21)",Southampton  ,England,"1,87 m",Chelsea FC,30-Jun-29,-,-,#26,left,
Matheus Nunes,€50.00m,Central Midfield,"['Attacking Midfield', 'Defensive Midfield']",Portugal,"Aug 27, 1998 (25)",Rio de Janeiro  ,Brazil,"1,83 m",Manchester City,30-Jun-28,-,-,#27,right,
Michael Olise,€50.00m,Right Winger,"['Attacking Midfield', 'Right Midfield']",France,"Dec 12, 2001 (22)",London  ,England,"1,84 m",Crystal Palace,30-Jun-27,-,-,#7,left,Nike
Micky van de Ven,€50.00m,Centre-Back,['Left-Back'],Netherlands,"Apr 19, 2001 (23)",Wormer  ,Netherlands,"1,93 m",Tottenham Hotspur,30-Jun-29,-,-,#37,left,
Gonçalo Ramos,€50.00m,Centre-Forward,[],Portugal,"Jun 20, 2001 (22)",Olhão  ,Portugal,"1,85 m",Paris Saint-Germain,30-Jun-28,-,-,#9,right,Nike
Mohammed Kudus,€50.00m,Attacking Midfield,"['Centre-Forward', 'Right Winger']",Ghana,"Aug 2, 2000 (23)",Accra  ,Ghana,"1,77 m",West Ham United,30-Jun-28,-,-,#14,left,Puma
Jonathan David,€50.00m,Centre-Forward,"['Second Striker', 'Attacking Midfield']",Canada,"Jan 14, 2000 (24)","Brooklyn, New York  ",United States,"1,80 m",LOSC Lille,30-Jun-25,-,-,#9,both,adidas
Anthony Gordon,€50.00m,Left Winger,"['Right Winger', 'Centre-Forward']",England,"Feb 24, 2001 (23)",Liverpool  ,England,"1,82 m",Newcastle United,30-Jun-26,-,-,#10,right,adidas
Amadou Onana,€50.00m,Defensive Midfield,['Central Midfield'],Belgium,"Aug 16, 2001 (22)",Dakar  ,Senegal,"1,95 m",Everton FC,30-Jun-27,-,-,#8,right,
Jeremie Frimpong,€50.00m,Right Midfield,"['Right-Back', 'Right Winger']",Netherlands,"Dec 10, 2000 (23)",Amsterdam  ,Netherlands,"1,72 m",Bayer 04 Leverkusen,30-Jun-28,-,-,#30,right,Puma
Reece James,€50.00m,Right-Back,"['Centre-Back', 'Right Midfield']",England,"Dec 8, 1999 (24)",London  ,England,"1,80 m",Chelsea FC,30-Jun-28,-,-,#24,right,Nike
Cody Gakpo,€50.00m,Left Winger,"['Centre-Forward', 'Right Winger']",Netherlands,"May 7, 1999 (24)",Eindhoven  ,Netherlands,"1,93 m",Liverpool FC,30-Jun-28,-,-,#18,right,Puma
Martín Zubimendi,€50.00m,Defensive Midfield,['Central Midfield'],Spain,"Feb 2, 1999 (25)",Donostia-San Sebastián  ,Spain,"1,81 m",Real Sociedad,30-Jun-27,-,-,#4,right,
Jules Koundé,€50.00m,Centre-Back,['Right-Back'],France,"Nov 12, 1998 (25)",Paris  ,France,"1,80 m",FC Barcelona,30-Jun-27,-,-,#23,right,adidas
Raphinha,€50.00m,Right Winger,['Left Winger'],Brazil,"Dec 14, 1996 (27)",Porto Alegre  ,Brazil,"1,76 m",FC Barcelona,30-Jun-27,-,-,#11,left,adidas
Benjamin Pavard,€50.00m,Centre-Back,['Right-Back'],France,"Mar 28, 1996 (28)",Maubeuge  ,France,"1,86 m",Inter Milan,30-Jun-28,-,-,#28,right,adidas
Mikel Oyarzabal,€50.00m,Left Winger,"['Centre-Forward', 'Right Winger']",Spain,"Apr 21, 1997 (27)",Eibar  ,Spain,"1,81 m",Real Sociedad,30-Jun-28,-,-,#10,left,Nike
Dayot Upamecano,€50.00m,Centre-Back,[],France,"Oct 27, 1998 (25)",Évreux  ,France,"1,86 m",Bayern Munich,30-Jun-26,-,-,#2,right,
Diogo Jota,€50.00m,Left Winger,"['Centre-Forward', 'Right Winger']",Portugal,"Dec 4, 1996 (27)",Porto  ,Portugal,"1,78 m",Liverpool FC,30-Jun-27,-,-,#20,right,adidas
Mikel Merino,€50.00m,Central Midfield,['Defensive Midfield'],Spain,"Jun 22, 1996 (27)",Pamplona  ,Spain,"1,89 m",Real Sociedad,30-Jun-25,-,-,#8,left,adidas
Jarrod Bowen,€50.00m,Right Winger,"['Second Striker', 'Centre-Forward']",England,"Dec 20, 1996 (27)",Leominster  ,England,"1,75 m",West Ham United,30-Jun-30,-,-,#20,left,adidas
Dani Olmo,€50.00m,Attacking Midfield,"['Left Winger', 'Right Winger']",Spain,"May 7, 1998 (25)",Terrassa  ,Spain,"1,79 m",RB Leipzig,30-Jun-27,-,-,#7,right,adidas
Ivan Toney,€50.00m,Centre-Forward,[],England,"Mar 16, 1996 (28)",Northampton  ,England,"1,85 m",Brentford FC,30-Jun-25,-,-,#17,right,
Federico Dimarco,€50.00m,Left-Back,"['Left Midfield', 'Centre-Back']",Italy,"Nov 10, 1997 (26)",Milano  ,Italy,"1,75 m",Inter Milan,30-Jun-27,-,-,#32,left,adidas
Heung-min Son,€50.00m,Left Winger,"['Centre-Forward', 'Second Striker']",South Korea,"Jul 8, 1992 (31)","Chuncheon, Gangwon  ","Korea, South","1,84 m",Tottenham Hotspur,30-Jun-25,-,-,#7,both,adidas
Conor Gallagher,€48.00m,Central Midfield,"['Defensive Midfield', 'Attacking Midfield']",England,"Feb 6, 2000 (24)",Epsom  ,England,"1,82 m",Chelsea FC,30-Jun-25,-,-,#23,right,
Eberechi Eze,€48.00m,Attacking Midfield,"['Left Midfield', 'Central Midfield']",England,"Jun 29, 1998 (25)",London  ,England,"1,78 m",Crystal Palace,30-Jun-27,-,-,#10,right,New Balance
Brennan Johnson,€48.00m,Right Winger,"['Left Winger', 'Centre-Forward']",Wales,"May 23, 2001 (22)",Nottingham  ,England,"1,86 m",Tottenham Hotspur,30-Jun-28,-,-,#22,right,
João Neves,€45.00m,Defensive Midfield,['Central Midfield'],Portugal,"Sep 27, 2004 (19)",Tavira  ,Portugal,"1,74 m",SL Benfica,30-Jun-28,-,-,#87,right,
António Silva,€45.00m,Centre-Back,[],Portugal,"Oct 30, 2003 (20)",Viseu  ,Portugal,"1,87 m",SL Benfica,30-Jun-27,-,-,#4,right,adidas
João Pedro,€45.00m,Centre-Forward,"['Left Winger', 'Second Striker']",Brazil,"Sep 26, 2001 (22)",Ribeirão Preto  ,Brazil,"1,82 m",Brighton & Hove Albion,30-Jun-28,-,-,#9,right,
Giorgio Scalvini,€45.00m,Centre-Back,['Defensive Midfield'],Italy,"Dec 11, 2003 (20)",Chiari  ,Italy,"1,94 m",Atalanta BC,30-Jun-28,-,-,#42,right,Puma
Destiny Udogie,€45.00m,Left-Back,['Left Midfield'],Italy,"Nov 28, 2002 (21)",Verona  ,Italy,"1,88 m",Tottenham Hotspur,30-Jun-30,-,-,#38,left,Puma
Pedro Porro,€45.00m,Right-Back,['Right Midfield'],Spain,"Sep 13, 1999 (24)",Don Benito  ,Spain,"1,73 m",Tottenham Hotspur,30-Jun-28,-,-,#23,right,Nike
