player,current_value,main_position,other_positions,nationality,date_of_birth,city_of_birth,country_of_birth,height,current_club,contract_expires,on_loan_from,contract_there_expires,number,foot,outfitter
Santiago Gimenez,€45.00m,Centre-Forward,[],Mexico,"Apr 18, 2001 (23)",Buenos Aires  ,Argentina,"1,82 m",Feyenoord Rotterdam,30-Jun-27,-,-,#29,left,adidas
Kaoru Mitoma,€45.00m,Left Winger,['Left Midfield'],Japan,"May 20, 1997 (26)","Kawasaki, Kanagawa  ",Japan,"1,78 m",Brighton & Hove Albion,30-Jun-27,-,-,#22,right,Puma
Vitinha,€45.00m,Central Midfield,"['Attacking Midfield', 'Defensive Midfield']",Portugal,"Feb 13, 2000 (24)",Vila das Aves  ,Portugal,"1,72 m",Paris Saint-Germain,30-Jun-27,-,-,#17,right,Nike
Lisandro Martínez,€45.00m,Centre-Back,"['Left-Back', 'Defensive Midfield']",Argentina,"Jan 18, 1998 (26)",Gualeguay  ,Argentina,"1,75 m",Manchester United,30-Jun-27,-,-,#6,left,
Pau Torres,€45.00m,Centre-Back,[],Spain,"Jan 16, 1997 (27)",Villarreal  ,Spain,"1,92 m",Aston Villa,30-Jun-28,-,-,#14,left,
Sven Botman,€45.00m,Centre-Back,[],Netherlands,"Jan 12, 2000 (24)",Badhoevedorp  ,Netherlands,"1,95 m",Newcastle United,30-Jun-27,-,-,#4,left,adidas
Diogo Costa,€45.00m,Goalkeeper,[],Portugal,"Sep 19, 1999 (24)",Rothrist  ,Switzerland,"1,86 m",FC Porto,30-Jun-27,-,-,#99,right,adidas
Ibrahima Konaté,€45.00m,Centre-Back,[],France,"May 25, 1999 (24)",Paris  ,France,"1,94 m",Liverpool FC,30-Jun-26,-,-,#5,right,Nike
Lucas Hernández,€45.00m,Left-Back,['Centre-Back'],France,"Feb 14, 1996 (28)",Marseille  ,France,"1,84 m",Paris Saint-Germain,30-Jun-28,-,-,#21,left,Nike
Alejandro Grimaldo,€45.00m,Left-Back,['Left Midfield'],Spain,"Sep 20, 1995 (28)",Valencia  ,Spain,"1,71 m",Bayer 04 Leverkusen,30-Jun-27,-,-,#20,left,adidas
Serge Gnabry,€45.00m,Right Winger,"['Left Winger', 'Second Striker']",Germany,"Jul 14, 1995 (28)",Stuttgart  ,Germany,"1,76 m",Bayern Munich,30-Jun-26,-,-,#7,right,adidas
Raheem Sterling,€45.00m,Left Winger,"['Right Winger', 'Centre-Forward']",England,"Dec 8, 1994 (29)",Kingston  ,Jamaica,"1,70 m",Chelsea FC,30-Jun-27,-,-,#7,right,New Balance
Neymar,€45.00m,Left Winger,"['Second Striker', 'Attacking Midfield']",Brazil,"Feb 5, 1992 (32)",Mogi das Cruzes  ,Brazil,"1,75 m",Al-Hilal SFC,30-Jun-25,-,-,#10,right,Puma
Matheus Cunha,€42.00m,Centre-Forward,"['Left Winger', 'Right Winger']",Brazil,"May 27, 1999 (24)",João Pessoa  ,Brazil,"1,83 m",Wolverhampton Wanderers,30-Jun-27,-,-,#12,right,Nike
Jacob Ramsey,€42.00m,Attacking Midfield,"['Central Midfield', 'Left Midfield']",England,"May 28, 2001 (22)",Birmingham  ,England,"1,80 m",Aston Villa,30-Jun-27,-,-,#41,right,
Axel Disasi,€42.00m,Centre-Back,['Right-Back'],France,"Mar 11, 1998 (26)",Gonesse  ,France,"1,90 m",Chelsea FC,30-Jun-29,-,-,#2,right,
Joelinton,€42.00m,Central Midfield,"['Attacking Midfield', 'Left Winger']",Brazil,"Aug 14, 1996 (27)",Aliança  ,Brazil,"1,86 m",Newcastle United,30-Jun-28,-,-,#7,right,
Manuel Akanji,€42.00m,Centre-Back,"['Right-Back', 'Left-Back']",Switzerland,"Jul 19, 1995 (28)",Wiesendangen  ,Switzerland,"1,88 m",Manchester City,30-Jun-27,-,-,#25,right,Puma
Oleksandr Zinchenko,€42.00m,Left-Back,"['Left Midfield', 'Central Midfield']",Ukraine,"Dec 15, 1996 (27)","Radomyshl, Zhytomyr Oblast  ",Ukraine,"1,75 m",Arsenal FC,30-Jun-26,-,-,#35,left,
Samu Omorodion,€40.00m,Centre-Forward,[],Spain,"May 5, 2004 (19)",Melilla  ,Spain,"1,93 m",Deportivo Alavés,30-Jun-24,Atlético de Madrid,30-Jun-28,#32,right,
Ousmane Diomande,€40.00m,Centre-Back,[],Ivory Coast,"Dec 4, 2003 (20)",Abidjan  ,Cote d'Ivoire,"1,90 m",Sporting CP,30-Jun-27,-,-,#26,right,
Vitor Roque,€40.00m,Centre-Forward,"['Left Winger', 'Right Winger']",Brazil,"Feb 28, 2005 (19)",Timóteo  ,Brazil,"1,72 m",FC Barcelona,30-Jun-31,-,-,#19,right,Nike
Leny Yoro,€40.00m,Centre-Back,[],France,"Nov 13, 2005 (18)",Saint-Maurice  ,France,"1,90 m",LOSC Lille,30-Jun-25,-,-,#15,right,
Alejandro Garnacho,€40.00m,Left Winger,['Right Winger'],Argentina,"Jul 1, 2004 (19)",Madrid  ,Spain,"1,80 m",Manchester United,30-Jun-28,-,-,#17,right,Nike
Mathys Tel,€40.00m,Left Winger,"['Right Winger', 'Centre-Forward']",France,"Apr 27, 2005 (18)",Sarcelles  ,France,"1,83 m",Bayern Munich,30-Jun-29,-,-,#39,right,
Sávio,€40.00m,Left Winger,"['Right Winger', 'Attacking Midfield']",Brazil,"Apr 10, 2004 (20)",São Mateus  ,Brazil,"1,76 m",Girona FC,30-Jun-24,ESTAC Troyes,30-Jun-27,#16,left,Nike
Bradley Barcola,€40.00m,Left Winger,"['Right Winger', 'Centre-Forward']",France,"Sep 2, 2002 (21)",Lyon  ,France,"1,82 m",Paris Saint-Germain,30-Jun-28,-,-,#29,right,
Victor Boniface,€40.00m,Centre-Forward,[],Nigeria,"Dec 23, 2000 (23)",Akure  ,Nigeria,"1,90 m",Bayer 04 Leverkusen,30-Jun-28,-,-,#22,right,
Alejandro Balde,€40.00m,Left-Back,"['Left Winger', 'Right-Back']",Spain,"Oct 18, 2003 (20)",Barcelona  ,Spain,"1,75 m",FC Barcelona,30-Jun-28,-,-,#3,left,Nike
Roméo Lavia,€40.00m,Defensive Midfield,['Central Midfield'],Belgium,"Jan 6, 2004 (20)",Brussels  ,Belgium,"1,81 m",Chelsea FC,30-Jun-30,-,-,#45,right,adidas
Benjamin Sesko,€40.00m,Centre-Forward,[],Slovenia,"May 31, 2003 (20)",Radeče  ,Slovenia,"1,95 m",RB Leipzig,30-Jun-28,-,-,#30,right,
Castello Lukeba,€40.00m,Centre-Back,[],France,"Dec 17, 2002 (21)",Lyon  ,France,"1,84 m",RB Leipzig,30-Jun-28,-,-,#23,left,
Pape Matar Sarr,€40.00m,Central Midfield,"['Defensive Midfield', 'Attacking Midfield']",Senegal,"Sep 14, 2002 (21)",Thiaroye  ,Senegal,"1,84 m",Tottenham Hotspur,30-Jun-30,-,-,#29,right,
Johan Bakayoko,€40.00m,Right Winger,[],Belgium,"Apr 20, 2003 (21)",Overijse  ,Belgium,"1,79 m",PSV Eindhoven,30-Jun-26,-,-,#11,left,Puma
Edmond Tapsoba,€40.00m,Centre-Back,[],Burkina Faso,"Feb 2, 1999 (25)",Ouagadougou  ,Burkina Faso,"1,94 m",Bayer 04 Leverkusen,30-Jun-28,-,-,#12,right,
Gonçalo Inácio,€40.00m,Centre-Back,['Defensive Midfield'],Portugal,"Aug 25, 2001 (22)",Almada  ,Portugal,"1,86 m",Sporting CP,30-Jun-27,-,-,#25,left,
Nicolás González,€40.00m,Right Winger,"['Centre-Forward', 'Left Winger']",Argentina,"Apr 6, 1998 (26)",Belén de Escobar  ,Argentina,"1,80 m",ACF Fiorentina,30-Jun-28,-,-,#10,left,
Joshua Zirkzee,€40.00m,Centre-Forward,['Second Striker'],Netherlands,"May 22, 2001 (22)",Schiedam  ,Netherlands,"1,93 m",Bologna FC 1909,30-Jun-26,-,-,#9,right,Nike
Morgan Gibbs-White,€40.00m,Attacking Midfield,"['Central Midfield', 'Second Striker']",England,"Jan 27, 2000 (24)",Stafford  ,England,"1,71 m",Nottingham Forest,30-Jun-27,-,-,#10,right,
Jurrien Timber,€40.00m,Centre-Back,"['Right-Back', 'Left-Back']",Netherlands,"Jun 17, 2001 (22)",Utrecht  ,Netherlands,"1,79 m",Arsenal FC,30-Jun-28,-,-,#12,right,adidas
Exequiel Palacios,€40.00m,Central Midfield,"['Attacking Midfield', 'Defensive Midfield']",Argentina,"Oct 5, 1998 (25)",Famaillá  ,Argentina,"1,77 m",Bayer 04 Leverkusen,30-Jun-28,-,-,#25,right,
Sandro Tonali,€40.00m,Defensive Midfield,['Central Midfield'],Italy,"May 8, 2000 (23)",Lodi  ,Italy,"1,81 m",Newcastle United,30-Jun-28,-,-,#8,right,Nike
Richarlison,€40.00m,Centre-Forward,"['Left Winger', 'Right Winger']",Brazil,"May 10, 1997 (26)",Nova Venécia  ,Brazil,"1,84 m",Tottenham Hotspur,30-Jun-27,-,-,#9,right,Nike
Teun Koopmeiners,€40.00m,Attacking Midfield,"['Central Midfield', 'Defensive Midfield']",Netherlands,"Feb 28, 1998 (26)",Castricum  ,Netherlands,"1,84 m",Atalanta BC,30-Jun-27,-,-,#7,left,
Robin Le Normand,€40.00m,Centre-Back,[],Spain,"Nov 11, 1996 (27)",Pabu  ,France,"1,87 m",Real Sociedad,30-Jun-26,-,-,#24,right,
Mason Mount,€40.00m,Attacking Midfield,"['Central Midfield', 'Left Midfield']",England,"Jan 10, 1999 (25)",Portsmouth  ,England,"1,81 m",Manchester United,30-Jun-28,-,-,#7,right,Nike
Federico Chiesa,€40.00m,Left Winger,"['Right Winger', 'Second Striker']",Italy,"Oct 25, 1997 (26)",Genova  ,Italy,"1,75 m",Juventus FC,30-Jun-25,-,-,#7,right,Nike
Donyell Malen,€40.00m,Right Winger,"['Centre-Forward', 'Left Winger']",Netherlands,"Jan 19, 1999 (25)",Wieringen  ,Netherlands,"1,76 m",Borussia Dortmund,30-Jun-26,-,-,#21,right,Nike
Gianluigi Donnarumma,€40.00m,Goalkeeper,[],Italy,"Feb 25, 1999 (25)",Castellammare di Stabia  ,Italy,"1,96 m",Paris Saint-Germain,30-Jun-26,-,-,#99,right,adidas
Brais Méndez,€40.00m,Attacking Midfield,"['Central Midfield', 'Right Winger']",Spain,"Jan 7, 1997 (27)",Mos  ,Spain,"1,84 m",Real Sociedad,30-Jun-28,-,-,#23,left,
Fikayo Tomori,€40.00m,Centre-Back,['Right-Back'],England,"Dec 19, 1997 (26)","Calgary, Alberta  ",Canada,"1,85 m",AC Milan,30-Jun-27,-,-,#23,right,adidas
Serhou Guirassy,€40.00m,Centre-Forward,['Left Winger'],Guinea,"Mar 12, 1996 (28)",Arles  ,France,"1,87 m",VfB Stuttgart,30-Jun-26,-,-,#9,right,adidas
Gregor Kobel,€40.00m,Goalkeeper,[],Switzerland,"Dec 6, 1997 (26)",Zürich  ,Switzerland,"1,96 m",Borussia Dortmund,30-Jun-28,-,-,#1,right,
Ederson,€40.00m,Goalkeeper,[],Brazil,"Aug 17, 1993 (30)",Osasco (SP)  ,Brazil,"1,88 m",Manchester City,30-Jun-26,-,-,#31,left,Puma
André Onana,€40.00m,Goalkeeper,[],Cameroon,"Apr 2, 1996 (28)",Nkol Ngok  ,Cameroon,"1,90 m",Manchester United,30-Jun-28,-,-,#24,right,adidas
Rúben Neves,€40.00m,Defensive Midfield,['Central Midfield'],Portugal,"Mar 13, 1997 (27)",Santa Maria da Feira  ,Portugal,"1,80 m",Al-Hilal SFC,30-Jun-26,-,-,#8,right,Nike
Milan Skriniar,€40.00m,Centre-Back,[],Slovakia,"Feb 11, 1995 (29)",Žiar nad Hronom  ,Slovakia,"1,88 m",Paris Saint-Germain,30-Jun-28,-,-,#37,right,Puma
Andreas Christensen,€40.00m,Centre-Back,['Defensive Midfield'],Denmark,"Apr 10, 1996 (28)",Lillerød  ,Denmark,"1,87 m",FC Barcelona,30-Jun-26,-,-,#15,right,adidas
Julian Brandt,€40.00m,Attacking Midfield,"['Right Winger', 'Left Winger']",Germany,"May 2, 1996 (27)",Bremen  ,Germany,"1,85 m",Borussia Dortmund,30-Jun-26,-,-,#19,right,Nike
Adrien Rabiot,€40.00m,Central Midfield,"['Defensive Midfield', 'Left Midfield']",France,"Apr 3, 1995 (29)",Saint-Maurice  ,France,"1,88 m",Juventus FC,30-Jun-24,-,-,#25,left,adidas
Mike Maignan,€40.00m,Goalkeeper,[],France,"Jul 3, 1995 (28)",Cayenne  ,French Guiana,"1,91 m",AC Milan,30-Jun-26,-,-,#16,right,
Nathan Aké,€40.00m,Centre-Back,"['Left-Back', 'Defensive Midfield']",Netherlands,"Feb 18, 1995 (29)",Den Haag  ,Netherlands,"1,80 m",Manchester City,30-Jun-27,-,-,#6,left,Nike
Hakan Çalhanoğlu,€40.00m,Defensive Midfield,"['Central Midfield', 'Attacking Midfield']",Türkiye,"Feb 8, 1994 (30)",Mannheim  ,Germany,"1,78 m",Inter Milan,30-Jun-27,-,-,#20,right,Nike
Rico Lewis,€38.00m,Right-Back,"['Defensive Midfield', 'Right Midfield']",England,"Nov 21, 2004 (19)",Bury  ,England,"1,69 m",Manchester City,30-Jun-28,-,-,#82,right,
Bryan Mbeumo,€38.00m,Right Winger,"['Second Striker', 'Centre-Forward']",Cameroon,"Aug 7, 1999 (24)",Avallon  ,France,"1,71 m",Brentford FC,30-Jun-26,-,-,#19,left,
Boubacar Kamara,€38.00m,Defensive Midfield,"['Centre-Back', 'Central Midfield']",France,"Nov 23, 1999 (24)",Marseille  ,France,"1,84 m",Aston Villa,30-Jun-27,-,-,#44,right,Nike
Marc Guéhi,€38.00m,Centre-Back,[],England,"Jul 13, 2000 (23)",Abidjan  ,Cote d'Ivoire,"1,82 m",Crystal Palace,30-Jun-26,-,-,#6,right,
Nayef Aguerd,€38.00m,Centre-Back,[],Morocco,"Mar 30, 1996 (28)",Kénitra  ,Morocco,"1,90 m",West Ham United,30-Jun-27,-,-,#27,left,
John Stones,€38.00m,Centre-Back,"['Right-Back', 'Defensive Midfield']",England,"May 28, 1994 (29)",Barnsley  ,England,"1,88 m",Manchester City,30-Jun-26,-,-,#5,right,Nike
Leandro Trossard,€38.00m,Left Winger,"['Attacking Midfield', 'Second Striker']",Belgium,"Dec 4, 1994 (29)",Waterschei  ,Belgium,"1,72 m",Arsenal FC,30-Jun-26,-,-,#19,right,
Kobbie Mainoo,€35.00m,Central Midfield,"['Attacking Midfield', 'Defensive Midfield']",England,"Apr 19, 2005 (19)",Stockport  ,England,"1,75 m",Manchester United,30-Jun-27,-,-,#37,right,
Nicolas Jackson,€35.00m,Centre-Forward,"['Right Winger', 'Left Winger']",Senegal,"Jun 20, 2001 (22)",Djibonker  ,Senegal,"1,88 m",Chelsea FC,30-Jun-31,-,-,#15,right,
Mohamed Simakan,€35.00m,Centre-Back,['Right-Back'],France,"May 3, 2000 (23)",Marseille  ,France,"1,87 m",RB Leipzig,30-Jun-27,-,-,#2,right,Puma
Piero Hincapié,€35.00m,Centre-Back,"['Left-Back', 'Left Midfield']",Ecuador,"Jan 9, 2002 (22)",Esmeraldas  ,Ecuador,"1,84 m",Bayer 04 Leverkusen,30-Jun-27,-,-,#3,left,adidas
Elye Wahi,€35.00m,Centre-Forward,"['Right Winger', 'Left Winger']",France,"Jan 2, 2003 (21)",Courcouronnes  ,France,"1,81 m",RC Lens,30-Jun-28,-,-,#9,right,adidas
Odilon Kossounou,€35.00m,Centre-Back,['Right-Back'],Ivory Coast,"Jan 4, 2001 (23)",Abidjan  ,Cote d'Ivoire,"1,91 m",Bayer 04 Leverkusen,30-Jun-26,-,-,#6,right,
Jean-Clair Todibo,€35.00m,Centre-Back,[],France,"Dec 30, 1999 (24)",Cayenne  ,French Guiana,"1,90 m",OGC Nice,30-Jun-27,-,-,#6,right,adidas
Oihan Sancet,€35.00m,Attacking Midfield,['Central Midfield'],Spain,"Apr 25, 2000 (23)",Pamplona  ,Spain,"1,88 m",Athletic Bilbao,30-Jun-32,-,-,#8,right,
Harvey Elliott,€35.00m,Attacking Midfield,"['Right Winger', 'Central Midfield']",England,"Apr 4, 2003 (21)",London  ,England,"1,70 m",Liverpool FC,30-Jun-27,-,-,#19,left,New Balance
Cheick Doucouré,€35.00m,Defensive Midfield,['Centre-Back'],Mali,"Jan 8, 2000 (24)",Bamako  ,Mali,"1,80 m",Crystal Palace,30-Jun-29,-,-,#28,right,
Mykhaylo Mudryk,€35.00m,Left Winger,"['Right Winger', 'Attacking Midfield']",Ukraine,"Jan 5, 2001 (23)","Krasnograd, Kharkiv Oblast  ",Ukraine,"1,75 m",Chelsea FC,30-Jun-31,-,-,#10,right,Nike
Max Kilman,€35.00m,Centre-Back,['Left-Back'],England,"May 23, 1997 (26)",London  ,England,"1,94 m",Wolverhampton Wanderers,30-Jun-28,-,-,#23,left,
Tino Livramento,€35.00m,Right-Back,"['Right Midfield', 'Left-Back']",England,"Nov 12, 2002 (21)",London  ,England,"1,82 m",Newcastle United,30-Jun-28,-,-,#21,right,adidas
Giorgi Mamardashvili,€35.00m,Goalkeeper,[],Georgia,"Sep 29, 2000 (23)",Tbilisi  ,Georgia,"1,97 m",Valencia CF,30-Jun-27,-,-,#25,left,
Ryan Gravenberch,€35.00m,Central Midfield,['Defensive Midfield'],Netherlands,"May 16, 2002 (21)",Amsterdam  ,Netherlands,"1,90 m",Liverpool FC,30-Jun-28,-,-,#38,right,adidas
Khéphren Thuram,€35.00m,Central Midfield,"['Defensive Midfield', 'Left Midfield']",France,"Mar 26, 2001 (23)",Reggio Emilia  ,Italy,"1,92 m",OGC Nice,30-Jun-25,-,-,#19,right,
Curtis Jones,€35.00m,Central Midfield,"['Attacking Midfield', 'Left Midfield']",England,"Jan 30, 2001 (23)",Liverpool  ,England,"1,85 m",Liverpool FC,30-Jun-27,-,-,#17,right,Nike
Nahuel Molina,€35.00m,Right-Back,['Right Midfield'],Argentina,"Apr 6, 1998 (26)",Embalse  ,Argentina,"1,75 m",Atlético de Madrid,30-Jun-27,-,-,#16,right,
Ezri Konsa,€35.00m,Centre-Back,['Right-Back'],England,"Oct 23, 1997 (26)",London  ,England,"1,83 m",Aston Villa,30-Jun-28,-,-,#4,right,
Yves Bissouma,€35.00m,Central Midfield,"['Defensive Midfield', 'Attacking Midfield']",Mali,"Aug 30, 1996 (27)",Issia  ,Cote d'Ivoire,"1,82 m",Tottenham Hotspur,30-Jun-26,-,-,#8,right,Nike
Dávid Hancko,€35.00m,Centre-Back,['Left-Back'],Slovakia,"Dec 13, 1997 (26)",Prievidza  ,Slovakia,"1,88 m",Feyenoord Rotterdam,30-Jun-28,-,-,#33,left,
Edson Álvarez,€35.00m,Defensive Midfield,['Centre-Back'],Mexico,"Oct 24, 1997 (26)",Tlalnepantla  ,Mexico,"1,90 m",West Ham United,30-Jun-28,-,-,#19,right,adidas
Ferran Torres,€35.00m,Left Winger,"['Right Winger', 'Centre-Forward']",Spain,"Feb 29, 2000 (24)",Foios  ,Spain,"1,84 m",FC Barcelona,30-Jun-27,-,-,#7,right,adidas
Harvey Barnes,€35.00m,Left Winger,"['Left Midfield', 'Attacking Midfield']",England,"Dec 9, 1997 (26)",Burnley  ,England,"1,82 m",Newcastle United,30-Jun-28,-,-,#15,right,
Leon Bailey,€35.00m,Left Winger,['Right Winger'],Jamaica,"Aug 9, 1997 (26)",Kingston  ,Jamaica,"1,78 m",Aston Villa,30-Jun-27,-,-,#31,left,Nike
Diogo Dalot,€35.00m,Right-Back,"['Right Midfield', 'Left-Back']",Portugal,"Mar 18, 1999 (25)",Braga  ,Portugal,"1,83 m",Manchester United,30-Jun-28,-,-,#20,right,Nike
Rodrigo Bentancur,€35.00m,Central Midfield,['Defensive Midfield'],Uruguay,"Jun 25, 1997 (26)",Nueva Helvecia  ,Uruguay,"1,87 m",Tottenham Hotspur,30-Jun-26,-,-,#30,right,adidas
Ismaël Bennacer,€35.00m,Defensive Midfield,"['Attacking Midfield', 'Central Midfield']",Algeria,"Dec 1, 1997 (26)",Arles  ,France,"1,75 m",AC Milan,30-Jun-27,-,-,#4,left,
Pervis Estupiñán,€35.00m,Left-Back,['Left Midfield'],Ecuador,"Jan 21, 1998 (26)",Esmeraldas  ,Ecuador,"1,75 m",Brighton & Hove Albion,30-Jun-27,-,-,#30,left,Nike
Joe Willock,€35.00m,Central Midfield,"['Attacking Midfield', 'Right Midfield']",England,"Aug 20, 1999 (24)",London  ,England,"1,86 m",Newcastle United,30-Jun-27,-,-,#28,right,adidas
Tammy Abraham,€35.00m,Centre-Forward,[],England,"Oct 2, 1997 (26)",London  ,England,"1,94 m",AS Roma,30-Jun-26,-,-,#9,right,Nike
Brahim Díaz,€35.00m,Attacking Midfield,"['Right Winger', 'Second Striker']",Morocco,"Aug 3, 1999 (24)",Málaga  ,Spain,"1,70 m",Real Madrid,30-Jun-27,-,-,#21,both,adidas
Guglielmo Vicario,€35.00m,Goalkeeper,[],Italy,"Oct 7, 1996 (27)",Udine  ,Italy,"1,94 m",Tottenham Hotspur,30-Jun-28,-,-,#13,right,
Tomas Soucek,€35.00m,Defensive Midfield,"['Central Midfield', 'Attacking Midfield']",Czechia,"Feb 27, 1995 (29)",Havlíčkův Brod  ,Czech Republic,"1,92 m",West Ham United,30-Jun-27,-,-,#28,right,
Sergej Milinković-Savić,€35.00m,Central Midfield,['Attacking Midfield'],Serbia,"Feb 27, 1995 (29)",Lleida  ,Spain,"1,92 m",Al-Hilal SFC,30-Jun-26,-,-,#22,right,Nike
David Raya,€35.00m,Goalkeeper,[],Spain,"Sep 15, 1995 (28)",Barcelona  ,Spain,"1,83 m",Arsenal FC,30-Jun-24,Brentford FC,30-Jun-25,#22,right,
Joachim Andersen,€35.00m,Centre-Back,[],Denmark,"May 31, 1996 (27)",Frederiksberg  ,Denmark,"1,92 m",Crystal Palace,30-Jun-26,-,-,#16,right,
Dominic Solanke,€35.00m,Centre-Forward,[],England,"Sep 14, 1997 (26)",Basingstoke  ,England,"1,86 m",AFC Bournemouth,30-Jun-27,-,-,#9,right,adidas
Andrew Robertson,€35.00m,Left-Back,['Left Midfield'],Scotland,"Mar 11, 1994 (30)",Glasgow  ,Scotland,"1,78 m",Liverpool FC,30-Jun-26,-,-,#26,left,Nike
Fabinho,€35.00m,Defensive Midfield,['Centre-Back'],Brazil,"Oct 23, 1993 (30)",Campinas  ,Brazil,"1,88 m",Al-Ittihad Club,30-Jun-26,-,-,#8,right,adidas
Luke Shaw,€35.00m,Left-Back,"['Left Midfield', 'Centre-Back']",England,"Jul 12, 1995 (28)",London  ,England,"1,78 m",Manchester United,30-Jun-27,-,-,#23,left,adidas
James Ward-Prowse,€35.00m,Central Midfield,"['Attacking Midfield', 'Right Midfield']",England,"Nov 1, 1994 (29)",Portsmouth  ,England,"1,77 m",West Ham United,30-Jun-27,-,-,#7,right,
Manuel Locatelli,€33.00m,Defensive Midfield,['Central Midfield'],Italy,"Jan 8, 1998 (26)",Lecco  ,Italy,"1,85 m",Juventus FC,30-Jun-28,-,-,#5,right,
Malo Gusto,€32.00m,Right-Back,['Right Midfield'],France,"May 19, 2003 (20)",Décines-Charpieu  ,France,"1,78 m",Chelsea FC,30-Jun-30,-,-,#27,right,
Rayan Aït-Nouri,€32.00m,Left-Back,['Left Midfield'],Algeria,"Jun 6, 2001 (22)",Montreuil  ,France,"1,80 m",Wolverhampton Wanderers,30-Jun-26,-,-,#3,left,
Wesley Fofana,€32.00m,Centre-Back,[],France,"Dec 17, 2000 (23)",Marseille  ,France,"1,86 m",Chelsea FC,30-Jun-29,-,-,#33,right,adidas
Benoît Badiashile,€32.00m,Centre-Back,['Left-Back'],France,"Mar 26, 2001 (23)",Limoges  ,France,"1,94 m",Chelsea FC,30-Jun-30,-,-,#5,left,adidas
Lutsharel Geertruida,€32.00m,Right-Back,"['Centre-Back', 'Defensive Midfield']",Netherlands,"Jul 18, 2000 (23)",Rotterdam  ,Netherlands,"1,84 m",Feyenoord Rotterdam,30-Jun-25,-,-,#4,right,adidas
Joey Veerman,€32.00m,Central Midfield,"['Attacking Midfield', 'Defensive Midfield']",Netherlands,"Nov 19, 1998 (25)",Purmerend  ,Netherlands,"1,85 m",PSV Eindhoven,30-Jun-26,-,-,#23,right,adidas
Ibrahim Sangaré,€32.00m,Defensive Midfield,['Central Midfield'],Ivory Coast,"Dec 2, 1997 (26)",Abidjan  ,Cote d'Ivoire,"1,91 m",Nottingham Forest,30-Jun-28,-,-,#6,right,
Scott McTominay,€32.00m,Defensive Midfield,"['Central Midfield', 'Attacking Midfield']",Scotland,"Dec 8, 1996 (27)",Lancaster  ,England,"1,91 m",Manchester United,30-Jun-25,-,-,#39,right,adidas
Christian Pulisic,€32.00m,Right Winger,"['Left Winger', 'Attacking Midfield']",USA,"Sep 18, 1998 (25)","Hershey, Pennsylvania  ",United States,"1,77 m",AC Milan,30-Jun-27,-,-,#11,right,Puma
Virgil van Dijk,€32.00m,Centre-Back,[],Netherlands,"Jul 8, 1991 (32)",Breda  ,Netherlands,"1,93 m",Liverpool FC,30-Jun-25,-,-,#4,right,Nike
Alisson,€32.00m,Goalkeeper,[],Brazil,"Oct 2, 1992 (31)",Novo Hamburgo  ,Brazil,"1,93 m",Liverpool FC,30-Jun-27,-,-,#1,right,Nike
Arthur Vermeeren,€30.00m,Central Midfield,['Defensive Midfield'],Belgium,"Feb 7, 2005 (19)",Lier  ,Belgium,"1,80 m",Atlético de Madrid,30-Jun-30,-,-,#18,right,
Kenan Yıldız,€30.00m,Second Striker,"['Left Winger', 'Right Winger']",Türkiye,"May 4, 2005 (18)",Regensburg  ,Germany,"1,87 m",Juventus FC,30-Jun-27,-,-,#15,both,adidas
Evanilson,€30.00m,Centre-Forward,[],Brazil,"Oct 6, 1999 (24)",Fortaleza  ,Brazil,"1,83 m",FC Porto,30-Jun-27,-,-,#30,both,
